apr 28 23:31:44 <canonprinter>	(i'm fairly new to html) i have a table and its border is "1" and its cellspacing is "1", but the border looks like this http://i.icap.me/2941430278757bb23.png , is there a way i can make the border as thin as like 1 pixel
<meir`>	i'm already there
<meir`>	thanks for your kind and offensive help...
<[tyrant]>	no you’re not
<[tyrant]>	not offensive
<[tyrant]>	i told you what to do
<[tyrant]>	put the img in css and do your ul
<[tyrant]>	i gotta use irc more
<[tyrant]>	been a while
<[tyrant]>	used it most in efnet
<krambiorix>	hi, here are my meta tags : http://laravel.io/bin/blyx5   ->howcome my page is still cached? i see in firebug that the date is today but two hours ago..
<iaj>	hi there, got a small question i have a log file that i link to on my webserver, just the plain log file, however that log file is in utf-8 fileencoding, and on the webpage it seems like its latin1 or something, eg. weird umlaut characters
<iaj>	do i have to create a php file that sets body and head to be utf-8 and just read the file-contents?
<oksushi>	`utf-8 @ iaj
<oksushi>	iaj: a) the page must be saved with utf-8 encoding; b) the 'content-type' http header must specify the utf-8 encoding; c) data pulled from databases must be saved utf-8-encoded; d) any database connections must be using utf-8.
<catricycle>	hello
<catricycle>	i was wondering if i can place robot text in <body>
<magneticduck>	lol wtf is robot text
<visage>	i wondered that myself.
<magneticduck>	maybe it's like
<magneticduck>	what robots .. type ..
<catricycle>	:d
<magneticduck>	catricycle: what do you mean by robot text?
<magneticduck>	robots.txt?
<catricycle>	yea
<catricycle>	i just have access to content managment system
<catricycle>	but not to website files
<catricycle>	so i thought, maybe i can add that meta tag inside <body>
<magneticduck>	i don't think so
<magneticduck>	oh wait
<magneticduck>	hmmm, you could try
<visage>	what also made him think it was a meta tag solution? heh.
<bytegap>	hi guys, i need some help. i have a width scroll bar on my lab project web site, even though i have the width set to 100%. can anyone tell me what might cause that?
<johnny->	try #css
<bytegap>	thanks
<visage>	i love psychic helmet questions.
<bytegap>	hi guys, can anyone recommend me some high-quality resources for learning html5, css3 and js?
<visage>	bytegap: explore the intricacies of html and css here: http://www.w3.org/community/webed/wiki/main_page, http://docs.webplatform.org/wiki/html/tutorials, http://docs.webplatform.org/wiki/css/tutorials, http://css.maxdesign.com.au, http://diveintohtml5.info, http://html5doctor.com
<bytegap>	thanks, visage.
<bytegap>	i was hoping there is some kind of compilation of high-quality resources in the form of a book, but this will have to do.
<steeze>	anyone here used adobe muse?
<steeze>	i don't have it, but i'm trying to help a friend
<bytegap>	what is that, steeze?
<steeze>	wsyiwyg site maker i believe bytegap
<steeze>	trying to help my friend host. im not familiar with how it exports the site. wondering if its just html,css, then he can host on github pages
<bytegap>	hmm, i'll check it out, but making web sites with a wysiwyg editor is not cool.
<steeze>	bytegap, haha i know. it's not my site.
<visage>	bytegap: books are too often outdated and wrong. we never recommend them here.
<visage>	steeze: please read the channel topic. no wysiwygs.
<bytegap>	visage, i though so. i'm used to learning technology from books, so that's why i asked.
<bray90820>	does anyone know of a good rss reader to embed onto my blog
<duckey>	bray90820, use js to make a new one??
<bray90820>	i was hoping to use an already made one
<bray90820>	i'm gonna be imbeding it int tumblr and idk if tumblt even supports javascript
<visage>	bray90820: please ask about finding tools in #web. this channel is for markup language support only.
<bray90820>	alright
<bray90820>	thanks
<thecoolguy>	hello
<iaj>	hi there.
<iaj>	is it possible to use an <a> tag to initiate the same as an <input type="submit"> would do? eg. replace the input tag with a defined onclick="return optin_subscribe_check();" with an a tag?
<atoem>	hi
<atoem>	look www.scooterelektro.nl/1/
<atoem>	html5 not?
<atoem>	did make a h6 in the logo with fons size 0
<atoem>	will that do good for seo?
<nimomo>	hi, i use facebook share plugin which opens a pop up. the chrome pop up blocker blocks it. how can i solve this issue?
<iaj>	when i just want to have a input type="submit" that submits a form, how does it need to look like?
<pacmakaveli>	<input type="submit" value="submit form" />
<iaj>	can i style that as a button?
<visage>	iaj: ...it already is a button, but yes, you have our permission. :)
<iaj>	visage: thats what i wanted to hear thanks
<pacmakaveli>	:))
<visage>	iaj: alternatively, you could do <button type="submit">send some shit</button>, then style away.
<iaj>	hehe, yeah! :)
<code_pod>	i have a parallax web page that has a button that loads next project showcase. upon clicking that button i wanna 1) load next project images and put them in right places(in order to accomplish this i use document.getelementbyid("someid").src = "some image") 2) change the animation such as fading(i use animation.css)
<code_pod>	in my javascript file i have a global variable that contains a string that represent current project name
<code_pod>	and i have a function called loadnextproject() that get called when clicking said button
<code_pod>	inside the function i use if/else if on current project name and based on that i load images and change .src of each <img ... />
<code_pod>	it's not a good solution since it doesn't work 'cause if we have lots of project handling these project just using an if/else if is not rational
<code_pod>	any idea?
<visage>	code_pod: you want ##javascript. down the hall. we only deal with markup here.
<code_pod>	visage: okay, sorry.
<atoem>	<img ... />?
<atoem>	<img ../>?
<code_pod>	atoem: i meant img tag buy using it
<code_pod>	atoem: any idea?
<atoem>	well it is css and not html
<code_pod>	atoem: well, my main question is that how to load images though i have css related question too
<visage>	right, #css for those.
<code_pod>	visage: thanks
<dolphinling>	hi. ie (all versions) has a bug with <base> where if you set window.location = "a/relative/url/", <base> doesn't get applied. is there some way i can feature detect for this bug, or should i give in and use browser detection?
<visage>	dolphinling: you should ask the ##javascript folks if there's a js solution.
<dolphinling>	visage: will do, thanks
<kushite>	hi guys!
<atoem>	time for red alert!
<ravenzz>	is there any way to select by custom data attributes on ie<9?
<ravenzz>	probably a question for #css
<ravenzz>	sorry
<thecoolguy>	 is it bad practice to format things with a table like this and would it be better to use css ? https://jsfiddle.net/yrguwpgz/
<texasmynsted>	is it valid to add an id property to a meta tag?
<texasmynsted>	never mind looks like id is valid for all html5 tags
<rajrajraj>	is there any such option audio.ontime(5:00, function(){}); in html
<rajrajraj>	html5*
<pantolon>	is it possible to bypass html validation. as far as i understand if you make javascript off you can type malicious input. but afaik no way to disable hhtml5 validation attribute. or may be html validation attribute works with java script under the hood. is that treue
<matip>	hello!
<matip>	how do you do so that the box with "bar" has its own scroll bars? http://jsfiddle.net/zzqz3jhy/
<matip>	i don't want to scroll the whole page, only the green box
<matip>	any idea?
<cojabo>	matip: see topic
<matip>	cojabo, read, what's next?
<cojabo>	matip: the styling bit.
<matip>	you mean the stuff about tables?
<cojabo>	the #html channel is just for the markup; you want #css for css
<matip>	ah, ok
<matip>	got it
<matip>	sorry, you're right, wrong channel :p
<nikhil_>	how do i make a form submit when a file is uploaded?
<nikhil_>	or rather, when a file is chosen
<lilmonkey>	not with html.
<harris>	hello
<foofin>	hello!
<rajrajraj>	https://jsfiddle.net/mjw8wg3h/ why am i not able to run this in "background" in android built in browser, can anyone help please...
<rajrajraj>	here is the full code https://www.irccloud.com/pastebin/dnhkenmj
<visage>	rajrajraj: you already know this channel is only about markup. keep your questions to markup only, please.
<el_juliano>	can anyone tell me why this does not work: http://pastebin.com/qgfayhy7
<visage>	el_juliano: what exactly doesn't work? be specific. don't make us guess. also, if this is a js issue, then you want ##javascript, down the hall.
<overbythere>	how can i escape brackets used in html template files? so i can have inline css such as body { padding:0; } without it being converted to body (unknown)? the details about the template system are here, but dont include any escape help http://manpages.ubuntu.com/manpages/oneiric/man8/tinyproxy.8.html
<el_juliano>	visage: when i open the file with my browser, it shows ma an error message that the password typed is wrong
<el_juliano>	visage: and the html document is to automatically login to facebook when opening the file with the browser.
<visage>	el_juliano: right, that's not an html issue.
<el_juliano>	visage: thank you very much :)
<visage>	overbythere: sounds like a terrible template system if that is indeed the issue. you should also be using external css files anyway.
<overbythere>	visage it's running on my router as a transparent proxy, so having an external css file isn't as easy as i would want it to be, believe me if i could put one in i would.. any ideas what template system it is using, or how i could start finding that out?
<overbythere>	ah there's a tinyproxy channel, will try there, thanks for your help though visage :)
<visage>	heh, good luck.
<overbythere>	turns out it needs a double bracket, so body {{ padding:0; }, weird eh?
<tongcx>	hi guys, where should i put <link>? in body or header?
<harris>	how can i have a button hidden when a html program starts
<visage>	"html program..."
<duckey>	i am having some trouble positioning these paragraphs. like the conclusion is at the top of the page. halp plz. https://jsfiddle.net/vhczqd6x/
<harris>	visage, hey
<psybr>	<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&n
<psybr>	bsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <img border="0" src="http://kiwichat.nz/pgm-show_image.php?id=47363" /></p>
<psybr>	yep.
<chulbul>	i'm using object and embed instead of iframe but on iphone, there is no scrollbar
<visage>	chulbul: why do you think you needed an iframe in the first place? what are you trying to do?
<chulbul>	visage, http://www.connekd.com here is the website, scrollbar is working on web, but when opened in ios safari, it just displays the visiable content and i can't scroll left or down
<visage>	chulbul: again, why do you think you need an iframe?
<chulbul>	visage, i replaced iframe with objetct embed also
<visage>	...
<chulbul>	what else i can do here if i want to show content from other sub domain to main domain
<chulbul>	as per my knowledde, i can use iframe or embed object
<chulbul>	could you sugest me something
<visage>	easy. you fetch the data from the server and display it. you need to look at things like xhr and/or cors (javascript.)
<visage>	there is no need to use a silly iframe or object.
<visage>	you use js and some server-side magic and write a proper api.
<chulbul>	do you mean to say that i should get the html from sub domain and then display it on main domain?
<chulbul>	but why don't you prefer iframe or embed object, this simply is resolving my problem with one line of code although its just not working on iphone and that is my major requirment to make it work on iphone
<visage>	do you even know what xhr and json are?
<chulbul>	yes i know json, xhr . im web developer
<visage>	then use cors and xhr to do what you want.
<visage>	build a proper api.
<visage>	sometimes the shortest path isn't always the correct one.
<chulbul>	yeah i can understand visage, so you mean that using iframe or embed object is simply a bad idea?
<chulbul>	may i know the reason please
<visage>	using an iframe isn't...bad.. it's just not the right solution for what you want to do.
<chulbul>	visage, okay thanks
<davvblack>	anyone know if theres a wy as a webmaster to change the window.document.referrer a child cross-domain iframe sees?
<davvblack>	i know it can be hidden, not sure if it is spoofable
<visage>	davvblack: not a markup question.
<rajrajraj>	 is there any code that can run in background of android built in browser specially when phone is locked
<visage>	rajrajraj: same for you. you know this already.
<visage>	this channel is only for html (the markup language.)
<rajrajraj>	visage:  is there any markup that runs in browser even when it is minimized and phone is locked
<visage>	rajrajraj: html doesn't "run" in that sense anyway, android or not. maybe you meant javascript.
<rajrajraj>	visage: i dont know
<rajrajraj>	visage:  i just want anything on browser to run when its minimized and phone is locked
<visage>	sounds like a silly and potentially dangerous idea. whatever. ask the ##javascript folks. that's as good as you're gonna get unless you make your android app or whatever.
<thecoolguy>	anyone know why the margins aren't being updated ? https://jsfiddle.net/dtchh/7355/
<visage>	thecoolguy: you already knows margins are a css thing.
<harris>	hello
<foofin>	hello!
<basketball>	hello
<foofin>	hello!
<basketball>	anyone know a good video that teaches html div and table
<visage>	basketball: don't be silly.
<visage>	`schools @ basketball
<rivvles>	basketball, explore the intricacies of html and css here: http://www.w3.org/community/webed/wiki/main_page, http://docs.webplatform.org/wiki/html/tutorials, http://docs.webplatform.org/wiki/css/tutorials, http://css.maxdesign.com.au, http://diveintohtml5.info, http://html5doctor.com
<basketball>	visage, ??
<lilmonkey>	foofin: can you turn that off please?
<basketball>	'schools @ basketball '
<visage>	basketball: we don't do videos here, we do links. the bot pasted you some.
<basketball>	'schools @ basketball'
<basketball>	'schools @ visage '
<uxfi>	lol
<uxfi>	basketball is 12
<basketball>	'schools @ visage'
<lilmonkey>	dear lord
<visage>	i can tell. :)
<uxfi>	troll
<uxfi>	he's done this crap before
<basketball>	what why wont that work
<basketball>	'schools @ visage
<visage>	basketball: go read some links, sheesh.
<visage>	uxfi: yeah, he's been here before...
<uxfi>	lol he left
<uxfi>	or here
<uxfi>	anwyays brb
<visage>	2015-01-10 16:23:09 <basketball> arent websites written in html <- classic. :)
<lilmonkey>	that's so wrong. everyone know websites are written in notepad.exe.
<lilmonkey>	knows*
<visage>	heh.
<visage>	wait, i don't have .exe files. i call shenanigans!
<lilmonkey>	well you clearly don't write websites then.
<visage>	probably not. :sniffle:
<lilmonkey>	btw, did you know that the linux kernel is written in notepad too?
<lilmonkey>	notepad is very versatile.
<visage>	you mean notepad.exe, right?
<visage>	is that different than notepad?
<lilmonkey>	shhh
<d4rklit3>	what is best semantics to use if i have a page that lists projects
<d4rklit3>	each project has a div with some headlines
<d4rklit3>	can i use an h1 in each project for its title?
<d4rklit3>	.project.tile > .tile-text > h1
<tongcx>	hi guys, want to use polymer for material design, really struggling how to implement some layout
<tongcx>	i basically want to have a big textbox in the middle
<tongcx>	but i don't know how to learn about all the structures, which elements should i use
<johnny->	tongcx, there's a #polymer channel
<tongcx>	johnny-: thanks, but i guess my problem is that there are so many "layout", "elements", "flex". i'd like to find somewhere to learn how everything fit together
<johnny->	#web maybe? this channel is strictly for html, not a mixmash of all web tech
<tongcx>	johnny-: thanks
<harris>	hey
<hassoon>	how can i insert a date thing from a html form into the mysql db :o
<tty>	hi. i want to have have 10+ image-maps. i have created on some image-mapping software but is so crumbershome to make any changes. can i create the image maps on illustrator so that i can edit them easier?
<bear10>	i'm looking at srcset and i'm wondering if there's a way to tell it to use one image for a certain screen with given width or another.
<bear10>	or is there another way of dealing with this
<reelsjigs>	can someone help me to locate a specific command within a html script
<tongcx>	hi guys, how to have a tooltip or value displayed for <input type="range">?
<pilum>	title
<tongcx>	pilum: how?
<pilum>	title="tooltip"
<tongcx>	pilum: still didn't get it, can you give me more complete code?
<pilum>	<input type="range" title="tooltip">
<tongcx>	pilum: nothing happened
<tongcx>	pilum: i'm using chrome
<pilum>	works just fine in chromium.
<pilum>	jsfiddle.net/v9gqr4qf/
<tongcx>	pilum: thanks
<tongcx>	another problem is that seems i cannot set default value for range input
<pilum>	what are you doing then?
<darkelement>	chi
<darkelement>	oops
<rodd>	hi i need help with form and a button with onclick: https://jsfiddle.net/laz289mx/ how can i keep it from triggering the onlick when i enter some text in the textfield then hit enter in my keyboard? (check the network tab in your dev tools, it will call something_else.php)
<rodd>	nvm added type=button solved
<visage>	...
<dkfn>	is there a way to put a hyperlink to the current page if <base> element is activated?
<visage>	dkfn: obviously use a relative link that would resolve to the current page or else use a full url that would.
<dkfn>	but that is infeasible
<visage>	sure it is. you have access to a server-side language or js in the client, don't you?
<dkfn>	i could use js
<visage>	then simply get the current url with js and, well, you win.
<steeze>	is there a better supported alternative to <nobr> ?
<uxfi>	april 12, 2011 10:03 a.m.
<uxfi>	whoops
<visage>	steeze: explain what you're trying to do and we'll provide a better alternative.
<steeze>	visage, i said never mind because i figured it out ^_^
<steeze>	oh wait woops that was another channel
<steeze>	either way
<visage>	heh.
<billy71>	hi
<billy71>	microdata, can i use multiple properties per element? because i would hate to nest them somehow.
<billy71>	ah yes, could i nest them at least? span in span? to avoid extra css just for having them next to each other?
<compact>	hey guys. in html i've got a date input. date('y-m-d') works, but i don't want to add the day to the input. however date('y-m') won't show up any date in the input. know anyway around it?
<docmarten>	morning all, having a bizarre problem with formatting a form layout in a phonegap app...i am beginning to think its a bug but need some additional eyes on it: http://forum.ionicframework.com/t/possible-bug-form-input-wrapping-issues/22580
<docmarten>	it is happening on two forms, one above the map and one below the map.  should be one line forms but its forcing everything to be wrapped causing the form to spread across three lines.
<visage>	docmarten: formatting and styling are all css issues. did you read the channel /topic?
<docmarten>	i did, but no one was responding over there, figured i would get attention here.  but...that aside, i finally figured out the issue.  not a bug, but its a framework formatting parameter that must be included that i wasn't aware of.
<visage>	good that you solved it, but remember, just because no one in a particular channel is saying anything is no excuse to go bother other off-topic channels.
<docmarten>	fair enough
<blinky_>	hi all, is it possible to have a scroll bar within a datalist, the contents of mine are running off the bottom of the page and i am not able to get to the bottom ones.?
<secrettriangle>	why won't the clip-path css rule on <image> apply in firefox? i have to set the it in style="" (i.e. element styles) for some reason http://secrettriangle.net:31004/
<lilmonkey>	secrettriangle: please read the channel topic
<secrettriangle>	lilmonkey: if you want me to do something please tell me what you want me to do instead of making me guess
<lilmonkey>	there's nothing to guess. read the fucking channel topic.
<secrettriangle>	ok done
<secrettriangle>	why won't the clip-path css rule on <image> apply in firefox? i have to set the it in style="" (i.e. element styles) for some reason http://secrettriangle.net:31004/
<lilmonkey>	sigh
<visage>	hugs.
<visage>	readin' is hard.
<atoem>	it is
<atoem>	its not native for me
<atoem>	specialy geek enlish
<atoem>	g
<lilmonkey>	not to sound like too much of an ass, but that's not our problem. english-language channel, english-language topic. if it's too hard for someone because of a language barrier, they should go find a support channel or forum or whatever in a language more comfortable for them.
<lilmonkey>	aka "ignorance is no excuse"
<atoem>	it's not too hard!
<lilmonkey>	good!
<atoem>	i have more problems with chinese language
<lilmonkey>	me too! go figure :)
<atoem>	ow, i'm not the only one:)
<visage>	atoem: that's not even the real issue. the thing is that most folks who have styling questions here don't read the topic at all. they think that "well, it deals with html anyway" or "yuo can't have html without css" gives them an excuse to bother off-topic channels.
<visage>	not to mention they don't understand the way freenode is set up. channels exist for a particular reason/topic. if they don't like it and think they can do better, hey, feel free to /part and start your own chan.
<visage>	...which reminds me, gonna start work on an #html rules page at some point.
<atoem>	a whole page with rules?
<visage>	oh yes.
<visage>	a topic can only be so large.
<atoem>	do we need that?
<lilmonkey>	no need for that to be a rule; that's common sense.
<lilmonkey>	we don't need a rule saying "no molesting children" either.
<lilmonkey>	brb :)
<visage>	atoem: no, the rule is "don't do stupid shit."
<uxfi>	hi atoem
<uxfi>	lilmonkey secrettriable has asked that for days now
<michaeladairhelp>	i need help with my boostrap site, on the index my carousel works but not in my general page... https://tynmk-mikeadair.c9.io/general.html as you can see, in the general page, it'll change the link when you press the left or right button which shouldn't happen....
<michaeladairhelp>	i need help with my boostrap site, on the index my carousel works but not in my general page... https://tynmk-mikeadair.c9.io/general.html as you can see, in the general page, it'll change the link when you press the left or right button which shouldn't happen....
<oksushi>	michaeladairhelp: this channel is for help with html only. ask ##bootstrap if you want help with that
<michaeladairhelp>	ah okay, sorry! :d
<michaeladairhelp>	(if you could help me with it though, that would be cool... the bootstrap channel seems to be dead...) i'd be eternally grateful.
<oksushi>	all the folk that want to help with bootstrap are there
<michaeladairhelp>	well, i think we should call the cops cause someone seems to have shot up that irc...
<visage>	wut?
<michaeladairhelp>	can anyone do me a quick help favor?
<michaeladairhelp>	it involves bootstrap...
<oksushi>	michaeladairhelp: stop asking about that here
<michaeladairhelp>	oksushi: alright, sorry.. i was just getting no help at the bootstrap one.
<oksushi>	that doesn’t make it a discussion for #html. try looking for other ways to get support if irc is not working for you
<michaeladairhelp>	oksushi: i guess i'll just code it in javascript. thanks.
<ephexeve>	hey guys, i am writting a html parser, i wonder if there if any easy way i can get the date from an article (when it was created)
<ephexeve>	trying to find a tag where in general, everyone ueses
<ephexeve>	*uses
<oksushi>	depends on the html. these days, it’s likely <time> - unless it’s marked up with a schema (see http://schema.org/article for an example)
<ephexeve>	thx
<oksushi>	<time> can have a pubdate attribute iirc
<ephexeve>	cool
<explodes>	is there anything wrong with this html? http://pastie.org/10179286 when it renders, the button has no value and the images src is empty.
<explodes>	(as inspected in the chrome dev tools)
<explodes>	chrome dev tools looks like this: http://explod.io/hosted/ss.png
<explodes>	jk found it
<explodes>	python bug i'm retarded sometime
<explodes>	gg
<anj7>	how can i get rid of the dotted rectangular selection for a button in html
<speedio>	how can i place an image so it wont take up a whole row, instead just the very first part of the row?
<uskerine>	how can i make that a field can not be edited?
<uskerine>	input type="text"
<visage>	uskerine: use the readonly attribute.
<feodoran>	i am trying to get a constant width for all <input type="text"> and <select> field. i found "box-sizing: border-box;", but it does not work in this example: http://pastebin.com/pjnknkyw  can someone help me out?
<lilmonkey>	feodoran: please read the channel topic
<visage>	feodoran: did you read the channel /topic?
<lilmonkey>	lol
<visage>	lilmonkey: jinx!
<lilmonkey>	:)
<feodoran>	sorry, i got no response in #css yet, so i thought i give it a try here
<visage>	feodoran: a very common tactic, but no, #css is still the channel to ask in. just have patience.
<duckey>	visage, actually, i learned a little js. maybe it is a far shot, does not mean you must shut on my dream.
<visage>	he's got no chance.
<hi-angel>	is there a tag to paste a bunch of text with special characters (like «<») and newlines? or do i have to convert this all into an according &amp, etc?
<hi-angel>	hm… it is harder than i thought… i am trying to use html to write a document. i tried before latex, but it have a big problems with unicode, so people adviced me html. seems it isn't that easy…
<hi-angel>	ah, screening≡escaping
<lilmonkey>	it's plenty easy.
<lilmonkey>	in latex or html.
<lilmonkey>	you don't have to escape any unicode.
<visage>	hi-angel: latex doesn't have a problem with unicode at all. try looking at xetex.
<visage>	but that's another subject entirely.
<hi-angel>	lilmonkey, well, i just have a bunch of text, and i am surely need to do something with newlines there and symbols like «>». that what i meant
<lilmonkey>	why are the newlines significant?
<hi-angel>	well, because if these are pasted as is, then it displaying like one single line. tbh i didn't searched yet about tags specifically to newlines, because i thought here is solution for both newlines and special symbols
<lilmonkey>	but why are the newlines significant?
<hi-angel>	because newlines should be displayed in the text.
<lilmonkey>	what is their purpose?
<hi-angel>	to separate lines of text
<lilmonkey>	you mean to create paragraphs?
<hi-angel>	well, paragraphs here, as i see, looks just like an usual separate lines, so, i think, yes
<hi-angel>	okay, anyway, thank you, i see, i ought to find some converter for a text to be pasted
<lilmonkey>	i don't think you understand how html is used, then. html describes content. if you have content with paragraphs, you use the appropriate element to indicate that: <p>
<lilmonkey>	... and so forth for everything else.
<exounx>	hello :d
<visage>	exounx: we only help with markup here. if you want styling help, then you want #css.
<visage>	you should probably fix those validation errors first though.
<exounx>	visage, yah will do, and yah i went to #css
<_3by8>	would someone please tell me why my code isn't working? it's very simple. just some html with some jquery. http://pastebin.com/pf2cmayu
<uxfi>	hi _3by8
<uxfi>	:)
<_3by8>	hi!
<_3by8>	ux = user experience?!
<meandrain>	hi
<gemclip>	is there a rule of thumb for line height vs font size?
<textmode>	gemclip: a point is an actual unit of measurement. so yes.
<gemclip>	whats the rule?
<textmode>	gemclip: the typographic point is defined as 1/72 of a standard international inch, which is the measure from baseline to top-line. this measure is equal to the "point size" of the font, by definition.
<textmode>	(though if a given system is (or can be) properly calibrated is a different story.
<gemclip>	sorry i must not have explained what i was looking for clear enough
<gemclip>	if a font size is 14px the rule of thumb would be a line height of 18px or 120% ect...
<gemclip>	the ratio of font-size to line-height
<textmode>	…is a font metric, technically its utterly at definition of the font; part of its data.
<textmode>	certainly some values are more common than others. 120% sounds about right.
<textmode>	as a sort of average.
<textmode>	but you might find fonts where thats quite wrong. eg some terse or small-cap fonts have essentially no decenders, and thus don't need the room. conversely some script or true italics can have rather elaberate or long decenders in which case you might be looking at closer to 175%
<textmode>	if you have access to such data, you should just get the line height from the font's metrics. its the only real answer.
<textmode>	(true italics as opposed to mechanically tilted fonts)
<gemclip>	i found what i was looking for. thank you for your help
<gemclip>	good article here in ref to the topic: http://www.pearsonified.com/2011/12/golden-ratio-typography.php
